Solução ótima! Status final = 2	MIPgap = -6.27744e+066
Funcao objetivo :	3.6126821086e+005	DEF (MW): 0.0000000000e+000	VFol (hm3): 0.0000000000e+000	CIO : 7.5870488061e+004	CFO : 2.8539772280e+005
CTL :3.4657196086e+005	CTQ :3.4688620780e+005
Tempo de resolucao (s):	0.0000e+000	Criar modelo (s):0.0000e+000
flags =	2	1	0	10	1	1	1

Estágio 1 
Periodo   	             1	             2
ud11      	  0.000000e+000	  0.000000e+000
ud12      	  0.000000e+000	  0.000000e+000
ud13      	  0.000000e+000	  0.000000e+000
ud14      	  0.000000e+000	  0.000000e+000
F1        	  4.998125e+003	  8.793982e+003
F2        	  4.788014e+003	  9.412365e+003
F3        	  5.672310e+003	  8.656775e+003
F4        	  5.321228e+003	  1.195024e+004
F5        	  4.975184e+003	  1.052015e+004
F6        	  0.000000e+000	  0.000000e+000
F7        	  1.324138e+004	  4.160970e+004
F8        	  5.468460e+003	  9.149432e+003
F9        	  5.679131e+003	  8.740368e+003
F10       	  0.000000e+000	  6.597047e+003
F11       	  0.000000e+000	  7.777206e+003
F12       	  0.000000e+000	  6.563093e+003
F13       	  5.505955e+003	  8.551239e+003
F14       	  5.101909e+003	  9.146412e+003
ph1       	  6.981372e+001	  0.000000e+000
ph2       	  4.266270e+001	  4.220116e+001
